"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.in","data.out"
"December 9th 2019, 21:39:13.117","node-41",16588,376
"December 9th 2019, 21:39:12.960","node-44",10699,422
"December 9th 2019, 21:39:12.166","node-18",9810,210
"December 9th 2019, 21:39:10.911","node-3",9997,8846
"December 9th 2019, 21:39:10.575","node-19",10093,5810
"December 9th 2019, 21:39:10.250","node-89",16709,442
"December 9th 2019, 21:39:09.638","node-91",14390,364
"December 9th 2019, 21:39:00.955","node-22",10461,523
"December 9th 2019, 21:39:00.055","node-23",9948,471
"December 9th 2019, 21:38:59.719","node-67",16550,6124
"December 9th 2019, 21:38:59.153","node-24",16733,317
"December 9th 2019, 21:38:58.461","node-21",10638,7997
"December 9th 2019, 21:38:58.426","node-65",15844,10598
"December 9th 2019, 21:38:58.050","node-66",10682,183
"December 9th 2019, 21:38:55.143","node-48",16881,40024
"December 9th 2019, 21:38:54.594","node-94",11611,2040
"December 9th 2019, 21:38:53.427","node-45",16067,199427
"December 9th 2019, 21:38:52.685","node-26",0,0
"December 9th 2019, 21:38:47.588","node-71",16220,2306
"December 9th 2019, 21:38:47.119","node-72",12370,3334
"December 9th 2019, 21:38:46.969","node-52",16669,358
"December 9th 2019, 21:38:46.769","node-51",9795,168
"December 9th 2019, 21:38:46.247","node-5",10128,268
"December 9th 2019, 21:38:44.652","node-25",11934,4570
"December 9th 2019, 21:38:44.585","node-8",12076,15896
"December 9th 2019, 21:38:43.620","node-28",10105,1958
"December 9th 2019, 21:38:41.740","node-30",15871,9807
"December 9th 2019, 21:38:40.747","node-27",10522,2159
"December 9th 2019, 21:38:40.371","node-9",11211,1146
"December 9th 2019, 21:38:39.466","node-74",16009,2004
"December 9th 2019, 21:38:39.047","node-12",10068,110
"December 9th 2019, 21:38:37.732","node-29",10469,297
"December 9th 2019, 21:38:37.671","node-32",16418,47571
"December 9th 2019, 21:38:37.650","node-76",13526,377
"December 9th 2019, 21:38:36.915","node-81",14026,397
"December 9th 2019, 21:38:35.605","node-83",13325,372
"December 9th 2019, 21:38:35.602","node-84",15740,13117
"December 9th 2019, 21:38:35.466","node-54",11842,21034
"December 9th 2019, 21:38:35.000","node-53",10660,2480
"December 9th 2019, 21:38:34.906","node-75",16363,19471
"December 9th 2019, 21:38:34.662","node-1",0,0
"December 9th 2019, 21:38:33.972","node-56",16149,564
"December 9th 2019, 21:38:33.667","node-34",10802,12533
"December 9th 2019, 21:38:33.186","node-36",11682,11496
"December 9th 2019, 21:38:32.507","node-78",13092,22028
"December 9th 2019, 21:38:31.344","node-77",11452,2832
"December 9th 2019, 21:38:30.911","node-33",10311,275
"December 9th 2019, 21:38:29.932","node-58",16834,373
"December 9th 2019, 21:38:29.739","node-60",16187,4337
"December 9th 2019, 21:38:29.735","node-35",10609,244
"December 9th 2019, 21:38:29.418","node-59",10600,125
"December 9th 2019, 21:38:25.868","node-13",10329,625
"December 9th 2019, 21:38:25.282","node-93",11376,639
"December 9th 2019, 21:38:22.800","node-86",10350,385
"December 9th 2019, 21:38:20.779","node-88",12399,6840
"December 9th 2019, 21:38:17.379","node-37",10393,317
"December 9th 2019, 21:38:17.189","node-97",11785,9873
"December 9th 2019, 21:38:16.411","node-39",11516,3811
"December 9th 2019, 21:38:15.961","node-99",12076,1550
"December 9th 2019, 21:38:15.527","node-61",16276,657
"December 9th 2019, 21:38:15.515","node-16",0,0
"December 9th 2019, 21:38:14.321","node-62",15780,909
"December 9th 2019, 21:38:14.083","node-100",14551,384
"December 9th 2019, 21:38:13.580","node-63",10036,299
"December 9th 2019, 21:38:13.467","node-42",16242,12278
"December 9th 2019, 21:38:13.126","node-41",16588,376
"December 9th 2019, 21:38:12.962","node-44",10699,422
"December 9th 2019, 21:38:12.213","node-18",9810,210
"December 9th 2019, 21:38:10.908","node-3",9997,8846
"December 9th 2019, 21:38:10.586","node-19",10093,5810
"December 9th 2019, 21:38:10.312","node-89",16709,442
"December 9th 2019, 21:38:09.638","node-91",14390,364
"December 9th 2019, 21:38:00.957","node-22",10461,523
"December 9th 2019, 21:38:00.054","node-23",9948,471
"December 9th 2019, 21:37:59.718","node-67",16550,6124
"December 9th 2019, 21:37:59.153","node-24",16733,317
"December 9th 2019, 21:37:58.461","node-21",10638,7997
"December 9th 2019, 21:37:58.427","node-65",15844,10598
"December 9th 2019, 21:37:58.050","node-66",10682,183
"December 9th 2019, 21:37:55.101","node-48",16881,40024
"December 9th 2019, 21:37:54.612","node-94",11611,2040
"December 9th 2019, 21:37:53.428","node-45",16067,199427
"December 9th 2019, 21:37:52.684","node-26",0,0
"December 9th 2019, 21:37:47.587","node-71",16220,2306
"December 9th 2019, 21:37:47.114","node-72",12370,3334
"December 9th 2019, 21:37:46.969","node-52",16669,358
"December 9th 2019, 21:37:46.768","node-51",9795,168
"December 9th 2019, 21:37:46.247","node-5",10128,268
"December 9th 2019, 21:37:44.652","node-25",11934,4570
"December 9th 2019, 21:37:44.585","node-8",12076,15896
"December 9th 2019, 21:37:43.606","node-28",10105,1958
"December 9th 2019, 21:37:41.742","node-30",15871,9807
"December 9th 2019, 21:37:40.747","node-27",10522,2159
"December 9th 2019, 21:37:40.391","node-9",11211,1146
"December 9th 2019, 21:37:39.463","node-74",16009,2004
"December 9th 2019, 21:37:39.048","node-12",10068,110
"December 9th 2019, 21:37:37.734","node-29",10469,297
"December 9th 2019, 21:37:37.672","node-32",16418,47571
"December 9th 2019, 21:37:37.650","node-76",13526,377
"December 9th 2019, 21:37:36.905","node-81",14026,397
"December 9th 2019, 21:37:35.605","node-83",13325,372
"December 9th 2019, 21:37:35.603","node-84",15740,13117
"December 9th 2019, 21:37:35.467","node-54",11842,21034
"December 9th 2019, 21:37:35.000","node-53",10660,2480
"December 9th 2019, 21:37:34.905","node-75",16363,19471
"December 9th 2019, 21:37:34.662","node-1",0,0
"December 9th 2019, 21:37:33.972","node-56",16149,564
"December 9th 2019, 21:37:33.665","node-34",10802,12533
"December 9th 2019, 21:37:33.186","node-36",11682,11496
"December 9th 2019, 21:37:32.507","node-78",13092,22028
"December 9th 2019, 21:37:31.342","node-77",11452,2832
