"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.topic","data.created"
"December 9th 2019, 21:04:52.744","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:52.744"
"December 9th 2019, 21:04:52.463","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:52.463"
"December 9th 2019, 21:04:51.686","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:51.686"
"December 9th 2019, 21:04:51.460","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:51.460"
"December 9th 2019, 21:04:50.976","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:50.976"
"December 9th 2019, 21:04:50.753","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:50.753"
"December 9th 2019, 21:04:50.337","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:50.337"
"December 9th 2019, 21:04:49.867","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:49.867"
"December 9th 2019, 21:04:49.647","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:49.647"
"December 9th 2019, 21:04:49.032","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:49.032"
"December 9th 2019, 21:04:48.811","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:48.811"
"December 9th 2019, 21:04:48.591","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:48.591"
"December 9th 2019, 21:04:47.847","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:47.847"
"December 9th 2019, 21:04:47.584","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:47.584"
"December 9th 2019, 21:04:46.709","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:46.709"
"December 9th 2019, 21:04:46.484","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:46.484"
"December 9th 2019, 21:04:46.257","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:46.257"
"December 9th 2019, 21:04:46.035","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:46.035"
"December 9th 2019, 21:04:45.776","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:45.776"
"December 9th 2019, 21:04:45.455","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:45.455"
"December 9th 2019, 21:04:45.231","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:45.231"
"December 9th 2019, 21:04:45.010","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:45.010"
"December 9th 2019, 21:04:44.788","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:44.788"
"December 9th 2019, 21:04:44.570","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:44.570"
"December 9th 2019, 21:04:44.000","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:44.000"
"December 9th 2019, 21:04:43.525","node-26",zdpuB1rTrJtHU1P3ZqKdQd5ScySWTLK8mBqSWhA9mscdfdYBX,"December 9th 2019, 21:04:43.525"
"December 9th 2019, 21:04:43.108","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:43.108"
"December 9th 2019, 21:04:42.887","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:42.887"
"December 9th 2019, 21:04:42.669","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:42.669"
"December 9th 2019, 21:04:42.449","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:42.449"
"December 9th 2019, 21:04:42.223","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:42.223"
"December 9th 2019, 21:04:42.000","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:42.000"
"December 9th 2019, 21:04:40.875","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:40.875"
"December 9th 2019, 21:04:40.746","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:40.746"
"December 9th 2019, 21:04:40.645","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:40.645"
"December 9th 2019, 21:04:40.423","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:40.423"
"December 9th 2019, 21:04:40.203","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:40.203"
"December 9th 2019, 21:04:39.985","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:39.985"
"December 9th 2019, 21:04:39.981","node-8",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:39.981"
