"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.size"
"December 9th 2019, 21:39:33.185","node-36",31
"December 9th 2019, 21:39:32.507","node-78",14
"December 9th 2019, 21:39:31.343","node-77",22
"December 9th 2019, 21:39:30.910","node-33",3
"December 9th 2019, 21:39:29.931","node-58",9
"December 9th 2019, 21:39:29.740","node-60",36
"December 9th 2019, 21:39:29.734","node-35",5
"December 9th 2019, 21:39:29.418","node-59",10
"December 9th 2019, 21:39:25.868","node-13",10
"December 9th 2019, 21:39:25.282","node-93",8
"December 9th 2019, 21:39:22.800","node-86",10
"December 9th 2019, 21:39:20.778","node-88",10
"December 9th 2019, 21:39:17.402","node-37",4
"December 9th 2019, 21:39:17.190","node-97",12
"December 9th 2019, 21:39:16.413","node-39",34
"December 9th 2019, 21:39:15.961","node-99",14
"December 9th 2019, 21:39:15.527","node-61",11
"December 9th 2019, 21:39:15.515","node-16",0
"December 9th 2019, 21:39:14.321","node-62",12
"December 9th 2019, 21:39:14.083","node-100",12
"December 9th 2019, 21:39:13.580","node-63",8
"December 9th 2019, 21:39:13.468","node-42",13
"December 9th 2019, 21:39:13.117","node-41",6
"December 9th 2019, 21:39:12.960","node-44",15
"December 9th 2019, 21:39:12.166","node-18",8
"December 9th 2019, 21:39:10.911","node-3",10
"December 9th 2019, 21:39:10.575","node-19",15
"December 9th 2019, 21:39:10.250","node-89",9
"December 9th 2019, 21:39:09.638","node-91",8
"December 9th 2019, 21:39:00.955","node-22",15
"December 9th 2019, 21:39:00.055","node-23",15
"December 9th 2019, 21:38:59.719","node-67",13
"December 9th 2019, 21:38:59.153","node-24",10
"December 9th 2019, 21:38:58.461","node-21",40
"December 9th 2019, 21:38:58.426","node-65",13
"December 9th 2019, 21:38:58.050","node-66",8
"December 9th 2019, 21:38:55.143","node-48",19
"December 9th 2019, 21:38:54.594","node-94",12
"December 9th 2019, 21:38:53.427","node-45",32
"December 9th 2019, 21:38:52.685","node-26",0
"December 9th 2019, 21:38:47.588","node-71",16
"December 9th 2019, 21:38:47.119","node-72",10
"December 9th 2019, 21:38:46.969","node-52",8
"December 9th 2019, 21:38:46.769","node-51",4
"December 9th 2019, 21:38:46.247","node-5",9
"December 9th 2019, 21:38:44.652","node-25",16
"December 9th 2019, 21:38:44.585","node-8",21
"December 9th 2019, 21:38:43.620","node-28",22
"December 9th 2019, 21:38:41.740","node-30",10
"December 9th 2019, 21:38:40.747","node-27",6
"December 9th 2019, 21:38:40.371","node-9",13
"December 9th 2019, 21:38:39.465","node-74",28
"December 9th 2019, 21:38:39.047","node-12",5
"December 9th 2019, 21:38:37.732","node-29",5
"December 9th 2019, 21:38:37.671","node-32",18
"December 9th 2019, 21:38:37.650","node-76",7
"December 9th 2019, 21:38:36.915","node-81",8
"December 9th 2019, 21:38:35.605","node-83",6
"December 9th 2019, 21:38:35.602","node-84",32
"December 9th 2019, 21:38:35.466","node-54",29
"December 9th 2019, 21:38:35.000","node-53",10
"December 9th 2019, 21:38:34.906","node-75",18
"December 9th 2019, 21:38:34.662","node-1",0
"December 9th 2019, 21:38:33.972","node-56",11
"December 9th 2019, 21:38:33.667","node-34",38
"December 9th 2019, 21:38:33.186","node-36",31
"December 9th 2019, 21:38:32.507","node-78",14
"December 9th 2019, 21:38:31.344","node-77",22
"December 9th 2019, 21:38:30.911","node-33",3
"December 9th 2019, 21:38:29.932","node-58",9
"December 9th 2019, 21:38:29.739","node-60",36
"December 9th 2019, 21:38:29.735","node-35",5
"December 9th 2019, 21:38:29.417","node-59",10
"December 9th 2019, 21:38:25.867","node-13",10
"December 9th 2019, 21:38:25.282","node-93",8
"December 9th 2019, 21:38:22.800","node-86",10
"December 9th 2019, 21:38:20.778","node-88",10
"December 9th 2019, 21:38:17.379","node-37",4
"December 9th 2019, 21:38:17.189","node-97",12
"December 9th 2019, 21:38:16.411","node-39",34
"December 9th 2019, 21:38:15.961","node-99",14
"December 9th 2019, 21:38:15.527","node-61",11
"December 9th 2019, 21:38:15.515","node-16",0
"December 9th 2019, 21:38:14.321","node-62",12
"December 9th 2019, 21:38:14.083","node-100",12
"December 9th 2019, 21:38:13.580","node-63",8
"December 9th 2019, 21:38:13.467","node-42",13
"December 9th 2019, 21:38:13.126","node-41",6
"December 9th 2019, 21:38:12.962","node-44",15
"December 9th 2019, 21:38:12.213","node-18",8
"December 9th 2019, 21:38:10.908","node-3",10
"December 9th 2019, 21:38:10.586","node-19",15
"December 9th 2019, 21:38:10.312","node-89",9
"December 9th 2019, 21:38:09.638","node-91",8
"December 9th 2019, 21:38:00.957","node-22",15
"December 9th 2019, 21:38:00.053","node-23",15
"December 9th 2019, 21:37:59.718","node-67",13
"December 9th 2019, 21:37:59.153","node-24",10
"December 9th 2019, 21:37:58.461","node-21",40
"December 9th 2019, 21:37:58.427","node-65",13
